"","site.id","long","lat","settlebiomass","second_deriv1000"
"269","269",-94.551555,46.27058,28.2561139609047,8.36335405244086e-09
"281","281",-89.866667,43.083333,NA,2.90819087860066e-11
"292","292",-95.162675,47.1775,25.0715965425959,9.04182346752501e-10
"325","325",-88.016667,46.666667,132.677883986897,9.77069191660557e-09
"518","518",-84.958333,44.7,107.912168969453,5.88209110017278e-08
"661","661",-85,43.48,143.070504814256,7.5233243670044e-09
"666","666",-89.73205,43.4178,30.6926554801165,9.54612970512824e-11
"833","833",-87.733333,44.05,111.732572537178,1.60100853331006e-09
"952","952",-85.116667,44.883333,NA,1.50793978595783e-09
"1119","1119",-93.643611,47.135556,NA,1.54950949625459e-09
"1128","1128",-92.716944,46.416944,51.3733479000068,1.43212233836212e-09
"1410","1410",-90.35,45.3,NA,3.14425937533311e-08
"1411","1411",-87.848056,44.238056,103.834906774032,6.19206112827973e-09
"1483","1483",-93.12255,44.77085,15.2383313968466,1.31530614121144e-09
"1510","1510",-92.62,46.72,50.7154991707334,7.87623640393681e-11
"1544","1544",-93.6875,45.425,28.917471429392,4.71925912174378e-09
"1590","1590",-93.600465,47.286,47.1748980761718,3.8368465643038e-10
"1679","1679",-89.416667,43.1,23.2859429229972,2.16025334394514e-12
"1701","1701",-95.007715,47.244755,27.0381343450703,3.58872263425336e-08
"1729","1729",-93.3853,47.982605,37.1749354496377,2.66937435433016e-09
"1814","1814",-93.6305,45.03503,28.4432219093845,1.36952645138257e-10
"1901","1901",-94.113,47.081,44.1591922023545,8.43810215839929e-10
"1944","1944",-88.1,43.4,84.4435234665781,1.90091834908673e-10
"1979","1979",-95.284167,46.211944,23.825424682244,2.58099252345064e-10
"2235","2235",-93.858975,44.87083,31.6308191666955,9.50613034786379e-09
"2239","2239",-85.179167,46.131944,NA,1.40706424961215e-09
"2274","2274",-87.515556,44.45,113.670439637377,4.69989204568565e-08
"2502","2502",-86.958333,46.47,112.991879346245,2.68504974021292e-08
"2548","2548",-95.786645,47.19324,14.2641115190329,4.32482059565173e-09
"2864","2864",-85.383333,42.4,NA,1.77353095900896e-07
"2933","2933",-93.5727,45.005,28.4432219093845,5.13263503738935e-10
"2937","2937",-90.083333,45.333333,145.966916966181,5.94632970304495e-08
"2956","2956",-87.921389,46.833333,123.431640466462,3.89103275106913e-08
"8551","8551",-93.4132,44.5924,NA,1.56863743251089e-10
"8552","8552",-93.84015,44.21895,27.6431399015012,3.51548908078784e-12
"8586","8586",-89.32082,46.21517,NA,8.2427938486089e-10
"10160","10160",-89.59428,43.800155,22.9884784483954,4.19794219302698e-09
"10163","10163",-84.857625,46.34668,NA,4.63910779391555e-09
"10352","10352",-91.19829,46.3073,84.2733273657225,5.64845445843711e-09
"10430","10430",-89.28155,46.23435,NA,3.97249462588515e-09
"10431","10431",-89.2553,46.140435,NA,4.36928752634401e-08
"10506","10506",-88.8432,42.78895,25.50913809113,1.12420234087482e-10
"11563","11563",-89.55507,45.519575,NA,1.96577178441478e-08
"11606","11606",-94.68138,46.973155,31.3559202281166,6.13789808271533e-10
"11610","11610",-86.48299,46.144685,131.135671298376,7.24303104727602e-09
"11611","11611",-88.86036,46.61506,157.450906018284,1.12085621840922e-08
